x,y,z
0.0,0.0,0.0
0.0,-0.05,0.009498868505568189
0.05,-0.05,0.011544079892591735
0.1,-0.05,0.013890050947848906
0.05,-0.05,0.011544079892591735
0.0,-0.05,0.009498868505568189
0.0,0.0,0.011660099179536471
0.05,0.0,0.014170647420775388
0.0,0.0,0.011660099179536471
0.0,0.05,0.014170646637533441
-0.05,0.05,0.011544078826659539
-0.05,0.1,0.013890048520039092
-0.1,0.1,0.011202899458619011
-0.1,0.15000000000000002,0.013345411597134935
-0.1,0.10000000000000002,0.011202899458619011
-0.05,0.10000000000000002,0.013890048520039092
-0.1,0.10000000000000002,0.011202899458619011
-0.1,0.05000000000000002,0.009310777731021133
-0.15000000000000002,0.05000000000000002,0.007434806903973036
-0.15000000000000002,1.3877787807814457e-17,0.006117616796791224
-0.15000000000000002,-0.04999999999999999,0.004983700106829245
-0.2,-0.04999999999999999,0.003939967984488137
-0.15000000000000002,-0.04999999999999999,0.004983700106829245
-0.15000000000000002,-0.09999999999999999,0.004019560662211805
-0.2,-0.09999999999999999,0.0031777474531474335
-0.25,-0.09999999999999999,0.002487237335178225
-0.2,-0.09999999999999999,0.0031777474531474335
-0.2,-0.04999999999999999,0.003939967984488137
-0.2,1.3877787807814457e-17,0.004836409455401389
-0.15000000000000002,1.3877787807814457e-17,0.006117616796791224
-0.2,1.3877787807814457e-17,0.004836409455401389
-0.15000000000000002,1.3877787807814457e-17,0.006117616796791224
-0.15000000000000002,0.05000000000000002,0.007434806903973036
-0.10000000000000002,0.05000000000000002,0.009310777731021133
-0.10000000000000002,0.10000000000000002,0.011202899458619011
-0.10000000000000002,0.15000000000000002,0.013345411597134935
-0.05000000000000002,0.15000000000000002,0.016546467751429986
-0.05000000000000002,0.2,0.019514790211576517
-0.05000000000000002,0.25,0.022786600161850263
-0.05000000000000002,0.3,0.026342211480213668
-0.10000000000000002,0.3,0.02124608464741094
-0.15000000000000002,0.3,0.016965342887740993
-0.15000000000000002,0.35,0.019417459009690254
-0.2,0.35,0.015350876889216271
-0.2,0.39999999999999997,0.017394822417335705
-0.15000000000000002,0.39999999999999997,0.022002863666029663
-0.15000000000000002,0.35,0.019417459009690254
-0.15000000000000002,0.39999999999999997,0.022002863666029663
-0.2,0.39999999999999997,0.017394822417335705
-0.2,0.44999999999999996,0.019514789250314583
-0.2,0.39999999999999997,0.017394822417335705
-0.2,0.44999999999999996,0.019514789250314583
-0.2,0.39999999999999997,0.017394822417335705
-0.2,0.44999999999999996,0.019514789250314583
-0.2,0.49999999999999994,0.021675283527638395
-0.15000000000000002,0.49999999999999994,0.027417256545735857
-0.15000000000000002,0.44999999999999996,0.024684428342543255
-0.10000000000000002,0.44999999999999996,0.03091287090224349
-0.05000000000000002,0.44999999999999996,0.03832769176781581
-1.3877787807814457e-17,0.44999999999999996,0.04704820415884864
-1.3877787807814457e-17,0.39999999999999997,0.04193717617810128
-1.3877787807814457e-17,0.44999999999999996,0.04704820415884864
0.04999999999999999,0.44999999999999996,0.05717820270191324
0.04999999999999999,0.39999999999999997,0.05096671384884496
0.09999999999999999,0.39999999999999997,0.061324095111774314
0.09999999999999999,0.44999999999999996,0.0687978737339826
0.15,0.44999999999999996,0.08195521716726656
0.09999999999999999,0.44999999999999996,0.0687978737339826
0.09999999999999999,0.39999999999999997,0.061324095111774314
0.04999999999999999,0.39999999999999997,0.05096671384884496
0.04999999999999999,0.44999999999999996,0.05717820270191324
0.04999999999999999,0.39999999999999997,0.05096671384884496
0.04999999999999999,0.44999999999999996,0.05717820270191324
0.04999999999999999,0.49999999999999994,0.06350843681111873
0.04999999999999999,0.44999999999999996,0.05717820270191324
0.04999999999999999,0.49999999999999994,0.06350843681111873
-1.3877787807814457e-17,0.49999999999999994,0.052256939819354815
-1.3877787807814457e-17,0.5499999999999999,0.05746480704418567
0.04999999999999999,0.5499999999999999,0.06983761555310139
0.09999999999999999,0.5499999999999999,0.08402991430177068
0.09999999999999999,0.49999999999999994,0.07641452889818509
0.15,0.49999999999999994,0.09102853011405611
0.2,0.49999999999999994,0.10735844241005654
0.25,0.49999999999999994,0.12535797527741632
0.3,0.49999999999999994,0.14491884046391892
0.25,0.49999999999999994,0.12535797527741632
0.3,0.49999999999999994,0.14491884046391892
0.35,0.49999999999999994,0.1658650467079083
0.35,0.5499999999999999,0.18239497290816595
0.3,0.5499999999999999,0.15936129015355055
0.3,0.6,0.17349936279781136
0.35,0.6,0.19857652888318825
0.39999999999999997,0.6,0.2250168981698615
0.35,0.6,0.19857652888318825
0.35,0.5499999999999999,0.18239497290816595
0.35,0.49999999999999994,0.1658650467079083
0.39999999999999997,0.49999999999999994,0.1879498947305334
0.39999999999999997,0.5499999999999999,0.20668077372800808
0.35,0.5499999999999999,0.18239497290816595
0.35,0.6,0.19857652888318825
